asin,title,keyword_ids,english_keywords,relevance_pct,n,matches
B094JGM34J,Lenco Dar-051 Dab+ Radio – Compact systeem – Cd/Mp3-speler – Bluetooth 5.0 – Pll FM – twee uur alarm – 2 x 10 watt Rms – equalizer – afstandsbediening – Rca aux In – hout,103;128;117;126,mp3 player|dab+ radio|mp3 player with bluetooth|cd player,100;100;80;80,4,"mp3 player(id103,100%,title) | dab+ radio(id128,100%,title) | mp3 player with bluetooth(id117,80%,body) | cd player(id126,80%,title)"
B094JMTJPQ,"Alecto DVM-140C - Zusätzliche Kamera für DVM-140, weiß",,,,0,
B094JS3K4P,Alecto Baby BC100BUNNY Réveil pour Enfant – Lampe de Chevet Aide Les Enfants à Avoir Une Sensation de Temps – Veilleuse Stimule Les Enfants à Rester au lit – Veilleuse réglable - Blanc,404;413,night light|alarm clock,100;100,2,"night light(id404,100%,title) | alarm clock(id413,100%,title)"
B094JV45PD,Alecto BC100PANDA - Despertador Infantil para mesita de Noche Ayuda a los niños a Tener una sensación de Tiempo y luz Nocturna estimula a los niños a quedarse en la Cama - Blanco/Negro,404,night light,100,1,"night light(id404,100%,title)"
B094JWG7XQ,"Alecto BFP-66 Babyrobot, 5-in-1, stomen, mengen en puree, verwarmen, steriliseren van flessen en zuignappen, flessenwarmers, wit",44;422,blender|mixing console,100;100,2,"blender(id44,100%,body) | mixing console(id422,100%,body)"
B094JX4CVF,Alecto BC100TIGER - Despertador Educativo para niños - Entrenador de sueño Infantil - Aprender a Dormir y Despertar con LED Despertador Infantil - Amarillo,404;413,night light|alarm clock,100;67,2,"night light(id404,100%,body) | alarm clock(id413,67%,title)"
B094JXKST6,Lenco DVP-920PK - 9 Zoll tragbarer DVD-Spieler mit Kopfhörer und Kopfstützenbefestigung - integrierter Akku - USB-Eingang - Pink/Weiß,108;22,portable dvd player|headphones,100;67,2,"portable dvd player(id108,100%,body) | headphones(id22,67%,title)"
B094N9GVJV,"Alecto BV71 casque antibruit pour enfants - protection auditive 29 dB SNR, pliable, léger, réglable - pour concerts, festivals, études - noir",32,kids headphones,100,1,"kids headphones(id32,100%,title)"
B094NB95PG,Alecto DBX110 - Audio Babyphone - Babyfon - Baby Phone,,,,0,
B094NG6LP4,"Alecto DBX120 Baby Monitor, Radioline Neonati, Baby Monitor Audio - DECT - connessione sicura e senza interferenze - funzione interfono - 5 ninne nanne - funzione VOX - a bassa radiazione - bianco/blu",313,microphone,100,1,"microphone(id313,100%,body)"
B094NJHW9C,Alecto Baby DBX88GS Babyphone - 100% Störungsfreie und Sicherer Verbindung - Gegensprechfunktion - Nachtlicht - VOX-Funktion - Lange Standby-Zeit - Einstellbare Empfindlichkeit - Weiß / Grau,224;404,aaa batteries|night light,100;80,2,"aaa batteries(id224,100%,body) | night light(id404,80%,title)"
B094NPXC34,Alecto Baby DVM-150C - Vigilabebés con Cámara Adicional para Bebes - Vigilabebés con Pantalla a Color - Blanco,,,,0,
B094R1YQY8,Alecto BC23-3-in-1 luchtbevochtiger voor de babykamer - wit,169;404,humidifier|night light,100;50,2,"humidifier(id169,100%,title) | night light(id404,50%,body)"
B0953W1NGV,Lenco MP4-Player Xemio-560 MP4-Player 8GB Speicher LCD-Bildschirm blau,112;103,mp4 player|mp3 player,100;50,2,"mp4 player(id112,100%,title) | mp3 player(id103,50%,body)"
B0953WNQQF,Lenco MP4-Player Xemio-560 MP4-Player 8GB Speicher LCD-Bildschirm pink,112;28;103,mp4 player|in-ear earbuds|mp3 player,100;60;50,3,"mp4 player(id112,100%,title) | in-ear earbuds(id28,60%,body) | mp3 player(id103,50%,body)"
B095Z3N8QV,Lenco MC-030BK compact systeem met Bluetooth - toploader CD/MP3-speler - PLL FM-radio - USB - 2 x 5 Watt RMS - afstandsbediening - zwart,117;126,mp3 player with bluetooth|cd player,100;50,2,"mp3 player with bluetooth(id117,100%,title) | cd player(id126,50%,title)"
B096Y4LDDY,Alecto ADB-11 - Funk Türklingel - Kabellose Türklingel - 30 Meter Reichweite - IP44 Wasserdicht - 36 Melodien - verschlüsseltes Signal - Weiß,337,wireless doorbell,100,1,"wireless doorbell(id337,100%,title)"
B097C14Y1G,Alecto ATL-80 LED Nachtlicht mit Lichtsensor - Notfalltaschenlampe - schaltet bei Stromausfall automatisch ein - einstellbare Lichtintensität - ladbar - weiß,283;404,led flashlight|night light,100;100,2,"led flashlight(id283,100%,body) | night light(id404,100%,title)"
B097C1YL1R,Alecto Termometro / Igrometro WS-55,184;196,hygrometer|thermometer,100;100,2,"hygrometer(id184,100%,title) | thermometer(id196,100%,title)"
B099RZSD61,Trebs 815007 raclette grill 15100 - rasqueta con capucha - parrilla de piedra - teppanyaki - 8 sartenes limpiacristales - doble revestimiento antiadherente - 1300 w - negro,60,raclette grill,100,1,"raclette grill(id60,100%,title)"
B099V7ZB37,"Nedis WLAN-Steckdose, Smart Home, Stromzähler Steckdose- Weiss",145;148,smart plug|google home,100;100,2,"smart plug(id145,100%,body) | google home(id148,100%,body)"
