asin,title,keyword_ids,english_keywords,relevance_pct,n,matches
B09XY3NPT9,Alecto SMARTBULB10 - Lampada LED smart wifi a colori,456;359;629,led lamp|e27 led bulb|smart E27 bulb,100;50;50,3,"led lamp(id456,100%,title) | e27 led bulb(id359,50%,body) | smart E27 bulb(id629,50%,body)"
B0B18BGJDP,Alecto SMARTLIGHT110 - Lámpara LED de filamento wifi inteligente,456;281;359;629;148,led lamp|work light|e27 led bulb|smart E27 bulb|google home,100;60;60;60;50,5,"led lamp(id456,100%,title) | work light(id281,60%,body) | e27 led bulb(id359,60%,body) | smart E27 bulb(id629,60%,body) | google home(id148,50%,body)"
B0B18FC9QF,Alecto SMARTLIGHT120 - Lampada LED a filamento wifi intelligente,456;281;359;629,led lamp|work light|e27 led bulb|smart E27 bulb,100;50;50;50,4,"led lamp(id456,100%,title) | work light(id281,50%,body) | e27 led bulb(id359,50%,body) | smart E27 bulb(id629,50%,body)"
B0B18G3FQS,Alecto SMARTLIGHT130 intelligente wifi-led-gloeilamp,148;456,google home|led lamp,100;80,2,"google home(id148,100%,body) | led lamp(id456,80%,body)"
B0B18J6MQ5,Alecto SMARTLIGHT30 - Lampada LED smart wifi a colori,456;281,led lamp|work light,100;50,2,"led lamp(id456,100%,title) | work light(id281,50%,body)"
B0B18M99PB,Alecto SMARTLIGHT40 - Lampada LED smart wifi a colori,456,led lamp,100,1,"led lamp(id456,100%,title)"
B0B21VF5Z7,Fysic FK105 - Grande horloge murale analogique en aluminium,219,aa batteries,100,1,"aa batteries(id219,100%,body)"
B0B21XTFYR,Fysic FK470 - FM-wekker met XXL display - voor senioren,394;413;437;127,door alarm|alarm clock|senior alarm|radio,100;100;100;50,4,"door alarm(id394,100%,body) | alarm clock(id413,100%,title) | senior alarm(id437,100%,body) | radio(id127,50%,body)"
B0B21YQC12,"Fysic FK450 - Radio despertador FM, pantalla grande, color negro",414;221,clock radio|button cell battery,100;60,2,"clock radio(id414,100%,title) | button cell battery(id221,60%,body)"
B0B25CJ7YZ,Alecto DVM149 Babyfoon met Camera – Video Babyfoon Serie (DVM149C),,,,0,
B0B25HQGBS,"Alecto BW700TWIN – Calienta biberones dúo digital rápido para calentar, esterilizar y descongelar, blanco",172,heating,100,1,"heating(id172,100%,body)"
B0B25JSP9N,Alecto DVM135 Babyfoon met Camera - Video Babyfoon - Nachtzicht - VOX-functie - Intercomfunctie - Uitbreidbaar - Temperatuurweergave - Zwart,153,motion sensor,100,1,"motion sensor(id153,100%,body)"
B0B25P9331,Alecto DVM149 babyfoon met camera - Indoor videobabyphone met schermresolutie: 480x272 - Babyfoon met temperatuurweergave - VOX-functie en alarm - Draaibaar en draaibaar - Slaapliedjes - Zwart,543,indoor camera,100,1,"indoor camera(id543,100%,title)"
B0B25S2DZT,"Alecto FR300 Kinder Wallkie Talkie - Funkgeräte - 10km Reichweite - IPX4-16 Kanäle - VOX Funktion - 2,5mm - Orange",219;418;314,aa batteries|walkie talkie|usb microphone,100;100;80,3,"aa batteries(id219,100%,body) | walkie talkie(id418,100%,body) | usb microphone(id314,80%,body)"
B0B2CD6FBM,"Alecto DVM135 Babyphone avec caméra et écran Couleur 3.5"", Blanc",,,,0,
B0B2Q266WL,Alecto BC100BUNNY – Appareil de Nuit éducatif et réveil de Sommeil,413,alarm clock,100,1,"alarm clock(id413,100%,title)"
B0B31WCM2Q,"Alecto FR-115 - Set von Zwei Walkie Talkies - Reichweite bis zu 7 Kilometer - 8 Kanäle - integrierte Taschenlampe - beleuchtetes Display - rot, FR115",418;279,walkie talkie|flashlight,100;50,2,"walkie talkie(id418,100%,title) | flashlight(id279,50%,title)"
B0B31YQ2VT,Alecto FR115CAMO Set van twee Walkie Talkies voor kinderen - Walki Talki met bereik tot 7 kilometer - Walky Talky 8 kanalen - Geïntegreerde zaklamp - Verlicht display - Camouflage,418;224;279;524,walkie talkie|aaa batteries|flashlight|headset stand,100;62;50;50,4,"walkie talkie(id418,100%,title) | aaa batteries(id224,62%,body) | flashlight(id279,50%,title) | headset stand(id524,50%,body)"
B0B4B5DN1P,"Alecto ACL-91, Lupa con iluminación LED, Lupa de Lectura, Ligera, Agradable a la Vista, Aumento de 2,5X, Ideal para Viajes, Negro",354;142,magnifying glass with light|smart lighting,100;67,2,"magnifying glass with light(id354,100%,body) | smart lighting(id142,67%,body)"
B0B4B6XLZ6,Alecto DBX68BU - Baby monitor aggiuntivo per DBX-68/DBX68GS - Babyfono con portata di 1 km - Monitor Baby con touch screen - Bianco,369;674;404;248,travel adapter|vibration sensor|night light|monitor stand,100;100;83;67,4,"travel adapter(id369,100%,body) | vibration sensor(id674,100%,body) | night light(id404,83%,body) | monitor stand(id248,67%,body)"
B0B4BBR7P3,"Alecto DBX68GS Babyfoon met 1 km bereik, oplaadbare babyunit, touchscreen, antraciet/zwart",313;404,microphone|night light,100;100,2,"microphone(id313,100%,body) | night light(id404,100%,body)"
B0B4BCWLQF,"Alecto DBX80BK Babyfoon, babyfoon met 3 km bereik, oplaadbaar en VOX-functie, zwart/wit",284,rechargeable flashlight,100,1,"rechargeable flashlight(id284,100%,body)"
B0B4DFZ53H,Alecto ATL-110 Lampada notturna LED con sensore di luce - Torcia d’emergenza - accensione automatica in caso di blackout - intensità regolabile - ricaricabile - nera,284;404;153;283;456;224,rechargeable flashlight|night light|motion sensor|led flashlight|led lamp|aaa batteries,100;100;88;75;75;62,6,"rechargeable flashlight(id284,100%,title) | night light(id404,100%,title) | motion sensor(id153,88%,body) | led flashlight(id283,75%,body) | led lamp(id456,75%,body) | aaa batteries(id224,62%,body)"
B0B4DGZP9T,Alecto AQ25,220;226;225,battery charger|battery tester|universal charger,100;100;67,3,"battery charger(id220,100%,body) | battery tester(id226,100%,body) | universal charger(id225,67%,body)"
B0B4DP8ZNJ,Alecto DVC136IP - cámara de vigilancia Domo para Exterior - cámara IP con WiFi - WLAN e IP55 - admite Tarjeta SD de 128 GB (no incluida) - Blanco,144;273,ip camera|sd card,100;100,2,"ip camera(id144,100%,title) | sd card(id273,100%,title)"
B0B4DSJTVT,"Alecto 10063480 DVC216IP - Cámara de vigilancia orientable para exteriores, color negro",165;155,security camera set|alarm system,100;60,2,"security camera set(id165,100%,body) | alarm system(id155,60%,body)"
B0B4K578W3,Lenco DVL-3273BK Noir,230,tv mount,100,1,"tv mount(id230,100%,body)"
B0B4KGM1HW,"Alecto DVM200BK Babyfoon met camera, 4,3 inch kleurendisplay, babyfoon, digitale bewakingscamera met 300 m bereik, zwart",645,camera battery,100,1,"camera battery(id645,100%,body)"
B0B4KJ8H7Z,"Alecto DVM71BK Babyfoon met camera met 2,4 inch kleurendisplay, babyfoon, digitale bewakingscamera met 300 m bereik, zwart",,,,0,
B0B4NWN2MX,Fysic FX3960 Seniorentelefon - schnurgebundenes Festnetztelefon mit Notrufsender - extra große Tasten - Freisprechfunktion - schwarz,438;441,landline phone|senior phone,100;100,2,"landline phone(id438,100%,title) | senior phone(id441,100%,title)"
B0B4PGXJ96,"Lenco EPB-430BK - Auricolari in-ear con Bluetooth, ricarica wireless, ricarica USB, colore: nero",28;25,in-ear earbuds|wireless earbuds,100;57,2,"in-ear earbuds(id28,100%,title) | wireless earbuds(id25,57%,title)"
B0B4SJZ89T,Fysic FCS250 - Gezondheidsmonitoring set voor thuis - Bloeddrukmeter - Saturatiemeter - Infrarood Thermometer,188;196;201,blood pressure monitor|thermometer|saturation meter,100;100;100,3,"blood pressure monitor(id188,100%,title) | thermometer(id196,100%,title) | saturation meter(id201,100%,title)"
B0B4SRCHZG,Fysic FH-76 - Amplificador auditivo/auricular inalámbrico - Negro,125,amplifier,100,1,"amplifier(id125,100%,title)"
B0B4STYHMS,Lenco SBW-801BK - Barra de sonido Bluetooth con subwoofer inalámbrico - Negro,12,soundbar with subwoofer,100,1,"soundbar with subwoofer(id12,100%,title)"
B0B4SYYC8C,"Fysic FL-25LED – Lámpara con lupa – Lupa de mesa con luz LED – Lámpara de mesa con lupa – para trabajos artesanales de lectura, costura, pasatiempos, trabajo, visión débil – Negro",281;354;456;287;611,work light|magnifying glass with light|led lamp|hand lamp|desk lamp,100;100;67;50;50,5,"work light(id281,100%,title) | magnifying glass with light(id354,100%,title) | led lamp(id456,67%,title) | hand lamp(id287,50%,body) | desk lamp(id611,50%,body)"
B0B4WDFZ2B,"Enceinte Bluetooth lenco Btp-400 - enceinte Bluetooth 2 en 1 - Tws - 2 X 10 Watts Rms - Son Stéréo Réel - Étanche Divisible (Ipx7), Noir",1;6;601,bluetooth speaker|waterproof speaker|outdoor speaker,100;80;60,3,"bluetooth speaker(id1,100%,title) | waterproof speaker(id6,80%,title) | outdoor speaker(id601,60%,body)"
B0B4WHNBH9,"Alecto Baby Bv-72 Gehoorbescherming voor peuters, wit/mintgroen, eenheidsmaat, Wit/Mint Groen, Eén maat",,,,0,
B0B59TC3TH,"Fysic FK950 - CaramenteFK850 - Reloj de pared analógico grande - Reloj de demencia con día, mes y hora - Reloj para desencadenantes 42x42cm - Negro…",,,,0,
B0B59VSPJK,Lenco L-3810 draaitafel met directe aandrijving - DJ draaitafel - 33/45 omw/min - Pitch-Control - Magneetpick-up systeem - Naaldverlichting - Pitch-Control - wit,122;673,record player|preamplifier,100;100,2,"record player(id122,100%,body) | preamplifier(id673,100%,body)"
B0B5GYDMJ8,Fysic FT38 – Termómetro antifiebre sin contacto – Termómetro infrarrojo digital – Termómetro frontal para niños y adultos – Alarma de fiebre – Blanco,623;221;646;219;427,digital thermometer|button cell battery|water alarm|aa batteries|green screen,100;75;75;62;50,5,"digital thermometer(id623,100%,title) | button cell battery(id221,75%,body) | water alarm(id646,75%,body) | aa batteries(id219,62%,body) | green screen(id427,50%,body)"
B0B5H5DFYM,Lenco MC-460BK Giradischi con ricevitore DAB+ e Radio Internet/FM - Lettore di dischi con lettore CD e Bluetooth - 2 Altoparlanti da 20 Watt RMS - Nero,136;126;129;117;128;33;538,record player with speakers|cd player|internet radio|mp3 player with bluetooth|dab+ radio|wired headphones|speaker cable,100;83;83;67;67;50;50,7,"record player with speakers(id136,100%,title) | cd player(id126,83%,title) | internet radio(id129,83%,title) | mp3 player with bluetooth(id117,67%,body) | dab+ radio(id128,67%,title) | wired headphones(id33,50%,body) | speaker cable(id538,50%,body)"
B0B5LVDVV2,"Alecto WS5200 - Estación meteorológica inalámbrica 6 en 1 con aplicación y sensor exterior inalámbrico, color negro",171,weather station,100,1,"weather station(id171,100%,title)"
B0B5LXW63N,"Alecto WS5400 Professioneel 8-in-1 wifi-weerstation met app en draadloze buitensensor, wit",171,weather station,100,1,"weather station(id171,100%,title)"
B0B5RYHFTN,Alecto DVM-781 Caméra de surveillance pour babyphone DVM-78 Blanc,,,,0,
B0B5WDTP4X,"Lenco LED-2463BK 24"" Android-Smart-TV, Negro",311;480;36;40;230;364;405,smart tv remote control|network adapter|headphone stand|headphones for tv|tv mount|scart to hdmi|pc controller,100;58;50;50;50;50;50,7,"smart tv remote control(id311,100%,body) | network adapter(id480,58%,body) | headphone stand(id36,50%,body) | headphones for tv(id40,50%,body) | tv mount(id230,50%,body) | scart to hdmi(id364,50%,body) | pc controller(id405,50%,body)"
B0B5WFS6NM,"Lenco LED-4243 Téléviseur Smart TV, 42 "", Full HD, HDR, haut-parleurs stéréo, triple tuner, HDMI x3, Wi-Fi, Ethernet, VGA, Android TV, Bluetooth, noir",311;650;27;130,smart tv remote control|USB to Ethernet|bluetooth headphones|tuner,100;100;67;67,4,"smart tv remote control(id311,100%,body) | USB to Ethernet(id650,100%,body) | bluetooth headphones(id27,67%,body) | tuner(id130,67%,title)"
B0B5WG1L6J,"Lenco LED-4353 Téléviseur Smart TV 43"" Ultra HD HDR Haut-parleur stéréo Triple Tuner HDMI x3 Wi-Fi Ethernet VGA Android TV Bluetooth Noir",311;650;27;130,smart tv remote control|USB to Ethernet|bluetooth headphones|tuner,100;100;67;67,4,"smart tv remote control(id311,100%,body) | USB to Ethernet(id650,100%,body) | bluetooth headphones(id27,67%,body) | tuner(id130,67%,title)"
B0B5WG7P1L,"Lenco LED-3263BK (V2) - 32-Zoll Android-Smart-TV schwarz - Brillante Bilder, Flexibles Streaming & Integrierter Chromecast - HD-Ready, HDR, WLAN, Bluetooth - Ideal für Zuhause und Unterwegs",603,tv stand,100,1,"tv stand(id603,100%,body)"
B0B6183XBK,Lenco L-3828BK - Plattenspieler mit Direktantrieb - Pitch Control - USB/PC-Encoding - Schwarz,122,record player,100,1,"record player(id122,100%,title)"
B0B63LJJ4B,Lenco Classic Phono TT-115 Draaitafel - Kofferplatenspeler - Bluetooth - USB - 3 snelheden - Directe opname op USB zonder PC - riemaandrijving - crème,122,record player,100,1,"record player(id122,100%,body)"
B0B6423441,"Alecto SMART-MOTION10 - Capteur de mouvement Smart Zigbee, blanc",153;160,motion sensor|zigbee,100;57,2,"motion sensor(id153,100%,body) | zigbee(id160,57%,title)"
B0B643XZ8Q,Alecto SMART-DOOR10 - Capteur de fenêtre/porte Smart Zigbee - Blanc,221;160,button cell battery|zigbee,100;80,2,"button cell battery(id221,100%,body) | zigbee(id160,80%,title)"
B0B64438S7,Alecto Smart-Ring20 Anneau de sonnette Wi-Fi 4 mélodies Volume réglable Blanc,338;145;339,doorbell with camera|smart plug|ring doorbell,100;67;67,3,"doorbell with camera(id338,100%,body) | smart plug(id145,67%,body) | ring doorbell(id339,67%,body)"
B0B645QDH4,Alecto Camara Inteligente WiFi DOMOTICA,270;261;480;144;150,micro sd card|network cable|network adapter|ip camera|home automation,100;86;86;71;57,5,"micro sd card(id270,100%,body) | network cable(id261,86%,body) | network adapter(id480,86%,body) | ip camera(id144,71%,body) | home automation(id150,57%,title)"
B0B64PRLHB,Alecto SMARTBABY10BK Baby Monitor Wifi con Telecamera HD 1080p - Baby Monitor Intelligente con Controllo Cellulare - Videocamera Baby Monitor e Audio - Nero,248,monitor stand,100,1,"monitor stand(id248,100%,body)"
B0B6JM23ZW,Alecto Babyfoon met Camera en WiFi/WLAN - SMARTBABY5BK Video Babycamera met Nachtzicht - Baby Monitor Indoor met Intercom en App Bedienbaar - Zwart,543,indoor camera,100,1,"indoor camera(id543,100%,title)"
B0B6PZGCTD,Alecto Smartbaby5 Babyphone mit Kamera - WLAN Babyphone mit Kamera - Gegensprechfunktion - Infrarot-Nachtsicht - Bewegungsmelder - App Steuerung - HD Auflösung - weiß,153,motion sensor,100,1,"motion sensor(id153,100%,body)"
B0B6Q2C6CC,Lenco Lecteur CD portable SCD-341 - Radio DAB+ - Bluetooth - Émetteur et mémoire de titre - Horloge - Haut-parleur stéréo - Noir,104;111,portable cd player|portable dab+ radio,100;86,2,"portable cd player(id104,100%,title) | portable dab+ radio(id111,86%,title)"
B0B717958L,ALECTO - jeu montage pour détecteur d'incendie - MK2,,,,0,
B0B71H546M,"Lenco PDR-045 tragbares DAB+ Radio - DAB+ Radio mit Bluetooth® - PPL FM-Radio - 2 x 3 Watt RMS - 5 Speichertasten - Radiowecker - integrierter Akku- 2,4"" Farbdisplay - Schwarz",111,portable dab+ radio,100,1,"portable dab+ radio(id111,100%,title)"
B0B71PTMWX,Lenco PDR-046GY DAB+ Radio portable DAB+ avec Bluetooth® PPL FM 5 touches de mémorisation Radio-réveil Batterie intégrée Gris,111;414,portable dab+ radio|clock radio,100;83,2,"portable dab+ radio(id111,100%,title) | clock radio(id414,83%,title)"
B0BD93NHPC,"Gastronoma 18290003 freidora Doble 9 L Independiente 2400 W Freidora baja en grasa Negro, Acero inoxidable",50;79;177,deep fryer|dishwasher|thermostat,100;50;50,3,"deep fryer(id50,100%,title) | dishwasher(id79,50%,body) | thermostat(id177,50%,body)"
B0BG2N8Q1P,"Alecto BC100BUNNY - pedagogische slaaptrainer, nachtlampje en wekker, haas",404;413,night light|alarm clock,100;100,2,"night light(id404,100%,title) | alarm clock(id413,100%,title)"
B0BGM9KCC8,"Alecto Baby HeeHee - Botón de Chat, Convierte su Peluche en un Amigo Interactivo - Juguete Musical para bebés con Chat de Texto - Controlable con App - 100% sostenible y Biodegradable",1,bluetooth speaker,100,1,"bluetooth speaker(id1,100%,body)"
B0BHTB18GK,"Alecto SA20 - 5 rilevatori di fumo, colore: Bianco",146,smoke detector,100,1,"smoke detector(id146,100%,body)"
B0BHTKG3MG,Alecto SA20 Rauchmelder Set - mit Time-Out Taste - Test und Reset Taste - Alarm >85-10 Jahre Sensor Laufzeit - entspricht EN14604:2005/AC:2008-4 x SA20 - weiß,146,smoke detector,100,1,"smoke detector(id146,100%,title)"
B0BJKS1RYY,Lenco LS-310 draaitafel - Bluetooth draaitafel - 33 en 45 omw/min - riemaandrijving - externe luidspreker 2 x 10W RMS - Audio Technica naald - RCA Out - bruin,573,turntable stylus,100,1,"turntable stylus(id573,100%,body)"
B0BL1HC9H6,"Telestar DIRA M 1 A Batteria Mobile Radio Digitale Radio Internet (DAB+ / DAB/FM/Internet, Batteria agli ioni di litio, WLAN Bluetooth 5.1, Display a Colori, Avviso di Emergenza EWF) Nero",129;128;155;111;138,internet radio|dab+ radio|alarm system|portable dab+ radio|network player,100;80;70;60;60,5,"internet radio(id129,100%,title) | dab+ radio(id128,80%,title) | alarm system(id155,70%,body) | portable dab+ radio(id111,60%,body) | network player(id138,60%,body)"
B0BM9ZZCYD,"Imperial DABMAN i510 BT - DAB Radio, Internet Radio WLAN, DAB Plus, Bluetooth, Küchenradio, WLAN Radio, USB, Streaming, schwarz",128;129;137,dab+ radio|internet radio|hifi set,100;100;50,3,"dab+ radio(id128,100%,title) | internet radio(id129,100%,title) | hifi set(id137,50%,body)"
B0BMQC4PZK,"Imperial DABMAN i560 CD DAB Radio, Internetradio WLAN, DAB+ Radio, Bluetooth, Küchenradio, WLAN Radio - HDMI ARC, Bluetooth senden und empfangen, Streaming Dienste schwarz",128;126;129;132;137,dab+ radio|cd player|internet radio|av receiver|hifi set,100;50;50;50;50,5,"dab+ radio(id128,100%,title) | cd player(id126,50%,body) | internet radio(id129,50%,body) | av receiver(id132,50%,body) | hifi set(id137,50%,body)"
B0BPYQTTD4,Lenco PDR-016 draagbare DAB+ radio - Bluetooth 5.0 - PLL FM-radio - 3 geheugenknoppen - voedingsadapter - telescopische antenne - zwart,128;102;111;219,dab+ radio|portable radio|portable dab+ radio|aa batteries,100;80;60;50,4,"dab+ radio(id128,100%,title) | portable radio(id102,80%,title) | portable dab+ radio(id111,60%,body) | aa batteries(id219,50%,body)"
B0BR5LJ7VF,Lenco Karaokesysteem BTC-050BK Bluetooth® accu microfoon discobal set 8W,313,microphone,100,1,"microphone(id313,100%,title)"
B0BRQGM7TS,"Alecto SA-110 Triple - Rauchmelder mit 10-Jahres-Sensor und Batterie, 3 Stück, weiß",146,smoke detector,100,1,"smoke detector(id146,100%,title)"
B0BRXTRSQR,"Telestar DIRA M 11i + - DAB+ digitale radio & internetradio (FM/DAB/DAB+ / internet, WLAN, mono-radio, EWF noodwaarschuwingssysteem, USB-opnamefunctie, Bluetooth, streamingdiensten) zwart",128;129;111,dab+ radio|internet radio|portable dab+ radio,100;100;75,3,"dab+ radio(id128,100%,title) | internet radio(id129,100%,title) | portable dab+ radio(id111,75%,body)"
B0BRXVGBWT,"Telestar DIRA S 21i + - DAB+ / Internet Radio (WLAN, Webradio, FM/DAB+, registrazione USB, stereo, sistema di allarme di emergenza, Bluetooth, servizi di streaming) - Nero",155;129;128,alarm system|internet radio|dab+ radio,100;71;57,3,"alarm system(id155,100%,title) | internet radio(id129,71%,title) | dab+ radio(id128,57%,title)"
B0BVKWK9B3,"Lenco LBT-515WD – Giradischi Premium con azionamento diretto, pickup 2 m blu e Bluetooth – Legno",16;33;136;538;27;355,wooden bluetooth speaker|wired headphones|record player with speakers|speaker cable|bluetooth headphones|rca cable,100;75;75;75;62;62,6,"wooden bluetooth speaker(id16,100%,body) | wired headphones(id33,75%,body) | record player with speakers(id136,75%,body) | speaker cable(id538,75%,body) | bluetooth headphones(id27,62%,body) | rca cable(id355,62%,body)"
B0BWYPZGDS,"Alecto SA300 4X - Detector de humo de diseño compacto con batería de 10 años, 4 unidades, color blanco",146,smoke detector,100,1,"smoke detector(id146,100%,title)"
B0BWYQPNFD,Alecto SA300 3X - Kompakter Design-Rauchmelder mit 10-Jahres-Batterie - Feuermelder 3er-Pack - Weiß,146,smoke detector,100,1,"smoke detector(id146,100%,title)"
B0BWYT3ZGW,Alecto SA300 6X - Kompakter Rauchmelder mit 10-Jahres-Batterie - Feuermelder 6er-Pack - Weiß,146,smoke detector,100,1,"smoke detector(id146,100%,title)"
B0BYJSF1BW,"Lenco PDR Radio portatile DAB+ – Radio DAB+ con Bluetooth® – radio PPL FM – 2 x 3 Watt RMS – 5 tasti di memoria – Radiosveglia – batteria integrata – display a colori da 2,4""",111,portable dab+ radio,100,1,"portable dab+ radio(id111,100%,title)"
B0BYJTMN35,Lenco PDR Radio portátil Dab+ - Radio Dab+ con Bluetooth® - PPL FM - 5 Botones de Memoria - Radio Despertador - Batería integrada,111;414,portable dab+ radio|clock radio,100;83,2,"portable dab+ radio(id111,100%,title) | clock radio(id414,83%,title)"
B0BYJVVBZ2,"PDR draagbare DAB+ radio - DAB+ radio met Bluetooth® - PPL FM-radio - 2 x 3 Watt RMS - 5 geheugentoetsen - wekkerradio - geïntegreerde batterij - 2,4 inch kleurendisplay",128;102;15;111,dab+ radio|portable radio|small bluetooth speaker|portable dab+ radio,100;80;60;60,4,"dab+ radio(id128,100%,title) | portable radio(id102,80%,title) | small bluetooth speaker(id15,60%,body) | portable dab+ radio(id111,60%,body)"
B0BYJZMPTN,Lenco PDR Radio Portable Dab+ - Radio Dab+ avec Bluetooth® - PPL FM - 5 Touches mémoire - Radio-réveil - Batterie intégrée,111;414,portable dab+ radio|clock radio,100;71,2,"portable dab+ radio(id111,100%,title) | clock radio(id414,71%,title)"
B0BYZSS194,Lenco LS-600WA - Giradischi Bluetooth® - Giradischi con due altoparlanti esterni e 2 x 30 Watt RMS - Noce,136,record player with speakers,100,1,"record player with speakers(id136,100%,title)"
B0BZ4KN5KX,"Lenco LBT-225WA Draaitafel met riemaandrijving, Bluetooth® en anti-skating met glazen platte plaat, donkerbruin",122,record player,100,1,"record player(id122,100%,body)"
B0BZ4KXNVJ,Alecto BC110BE Simon – Despertador Educativo para niños – Entrenador del sueño para niños – Luz Nocturna – Aprender a Dormir y despertarse con LED Kinderwecker – Taupe,413,alarm clock,100,1,"alarm clock(id413,100%,title)"
B0BZ4NLGTH,"Alecto BC110BE SIMON Sveglia Luce, Sveglia Bambino, Sveglia Che Scappa, per Ragazzi educativa per bambini - Allenatore del sonno per bambini – Luce notturna – Imparare a dormire e svegliarsi - verde",404,night light,100,1,"night light(id404,100%,title)"
B0C77X2QH8,"Alecto DVM200M - Babyphone avec caméra et écran couleur 4.3"", blanc/anthracite",248;318;218;223;426,monitor stand|wireless microphone|rechargeable batteries|lithium batteries|spotting scope,100;100;67;67;67,5,"monitor stand(id248,100%,body) | wireless microphone(id318,100%,body) | rechargeable batteries(id218,67%,body) | lithium batteries(id223,67%,body) | spotting scope(id426,67%,body)"
B0C77X4DZL,Alecto DVM200MBK Baby Monitor Telecamera Controllabile Radio - Baby Monitor 100% Senza Interferenze - Baby Monitor Indoor con Visione Notturna e Lunga Portata Fino a 300 Metri - 11 cm Display,153;248;261;543;645;127;129;318,motion sensor|monitor stand|network cable|indoor camera|camera battery|radio|internet radio|wireless microphone,100;100;100;100;100;67;67;67,8,"motion sensor(id153,100%,body) | monitor stand(id248,100%,body) | network cable(id261,100%,body) | indoor camera(id543,100%,body) | camera battery(id645,100%,body) | radio(id127,67%,title) | internet radio(id129,67%,body) | wireless microphone(id318,67%,body)"
B0C781239G,Alecto DVM200MGS Babyphone inalámbrico con cámara controlable - Monitor de bebé sin interferencias - Largo Alcance de hasta 300 m y visión Nocturna - Pantalla Multi-cámaras de 11 cm - Blanco/Gris,637,soundplate,100,1,"soundplate(id637,100%,body)"
B0C7848XF5,Alecto SMARTBABY10BE Babyphone vidéo avec caméra et WiFi/Wi-Fi - Moniteur vidéo pour bébé avec vision nocturne - Pour la maison et les déplacements - Babyphone avec interphone et contrôlable avec,,,,0,
B0C7LCG2ZS,Alecto DBX110 Babyfoon Audio - digitale babyfoon met DECT - 300 m bereik - compact ontwerp - LED volumeschaal - VOX-functie - stralingsarm - beige,218,rechargeable batteries,100,1,"rechargeable batteries(id218,100%,body)"
B0C8NV3166,Lenco Lecteur CD Portable Walkman avec écouteurs et câble de Charge Micro USB,104,portable cd player,100,1,"portable cd player(id104,100%,title)"
B0C8Y5FJ54,LECTEUR LENCO LBT-288WA BOIS NOIR,122,record player,100,1,"record player(id122,100%,body)"
B0CB44LMR9,Commaxx Lenco PA-100 Bluetooth PartyBox - Altavoz portátil para Fiestas - Bluetooth 5.0 con TWS - IPX4 - Luces para Fiestas - 100 vatios RMS - 2400mAh - USB - Micro y Mando a Distancia - Negro,10;20;1;679;5,portable speaker|speaker with light effects|bluetooth speaker|PA speaker|party speaker,100;100;80;80;60,5,"portable speaker(id10,100%,title) | speaker with light effects(id20,100%,body) | bluetooth speaker(id1,80%,title) | PA speaker(id679,80%,title) | party speaker(id5,60%,body)"
B0CBDLTFNF,Lenco DAR-081,132,av receiver,100,1,"av receiver(id132,100%,body)"
B0CBKVNJ4C,Alecto DVM200M Funk Babyphone steuerbarer Kamera,,,,0,
B0CBVKJ1JK,Giradischi Lenco Ls 301,122,record player,100,1,"record player(id122,100%,title)"
B0CFR1Z5BG,"Alecto DVM149GN Babyfoon met camera en 4,3 inch kleurenscherm, babyfoon met draaibare videocamera, nachtzicht, intercomfunctie, hoog bereik, wit/groen",,,,0,
B0CFR8XP3T,"Alecto FR115 3X – Lot de 3 talkies-walkies pour enfants, portée jusqu'à 7 kilomètres – Rouge/blanc/bleu",418;279;32;110;224,walkie talkie|flashlight|kids headphones|pocket radio|aaa batteries,100;88;75;75;62,5,"walkie talkie(id418,100%,title) | flashlight(id279,88%,body) | kids headphones(id32,75%,body) | pocket radio(id110,75%,body) | aaa batteries(id224,62%,body)"
B0CFRH4RC8,Fysic F10 - Mobiele Handy für Senioren mit Notruftaste - Seniorenhandy 4G mit große Tasten - Großtastenhandy mit Ladestation - Schwarz,270;645,micro sd card|camera battery,100;57,2,"micro sd card(id270,100%,body) | camera battery(id645,57%,body)"
B0CKMQ4W35,"Lenco BTC-060BK Karaoke Set met Bluetooth®, oplaadbare batterij, draadloze karaoke-microfoon en disco LED-verlichting, zwart",121;318,karaoke set|wireless microphone,100;80,2,"karaoke set(id121,100%,title) | wireless microphone(id318,80%,title)"
B0CKMSF376,Kit pulizia vinile Lenco TTA 12IN1PRO,386;595,cleaning kit|tool box,100;100,2,"cleaning kit(id386,100%,body) | tool box(id595,100%,body)"
B0CLC5XY6M,"Imperial DABMAN i410 BT DAB Radio, Internetradio WLAN, DAB Plus Radio, Bluetooth, WLAN Radio (Bluetooth Sender- und Empfänger, Hotelmodus, Streamingdienste, USB-Aufnahme) - Schwarz",128;356;27;129;132;137,dab+ radio|jack to rca adapter|bluetooth headphones|internet radio|av receiver|hifi set,100;80;50;50;50;50,6,"dab+ radio(id128,100%,title) | jack to rca adapter(id356,80%,body) | bluetooth headphones(id27,50%,body) | internet radio(id129,50%,body) | av receiver(id132,50%,body) | hifi set(id137,50%,body)"
B0CNY14RKS,Forno per pizza Gastronoma - forno per pizza con cupola in terracotta per 4 persone - cupola per pizza - 800 watt - preparazione in 5-7 minuti - con accessori - cupola piatta,177,thermostat,100,1,"thermostat(id177,100%,body)"
B0CNY2W112,Forno per pizza Gastronoma - forno per pizza con cupola in terracotta per 8 persone - cupola per pizza - 1150 watt - preparazione in 5-7 minuti - con accessori - cupola piatta,,,,0,
